system:index,date,mean_temperature,point_id,treeholeid,.geo
0000000000000000001e_0,2021-11-22,14.533199310302734,0000000000000000001e,JR.20,"{""type"":""Point"",""coordinates"":[-122.24073055401354,37.401900665758575]}"
0000000000000000001e_1,2021-11-23,12.209099769592285,0000000000000000001e,JR.20,"{""type"":""Point"",""coordinates"":[-122.24073055401354,37.401900665758575]}"
0000000000000000001e_2,2021-11-24,12.773999214172363,0000000000000000001e,JR.20,"{""type"":""Point"",""coordinates"":[-122.24073055401354,37.401900665758575]}"
0000000000000000001e_3,2021-11-25,12.993000030517578,0000000000000000001e,JR.20,"{""type"":""Point"",""coordinates"":[-122.24073055401354,37.401900665758575]}"
0000000000000000001e_4,2021-11-26,13.589099884033203,0000000000000000001e,JR.20,"{""type"":""Point"",""coordinates"":[-122.24073055401354,37.401900665758575]}"
0000000000000000001e_5,2021-11-27,15.217599868774414,0000000000000000001e,JR.20,"{""type"":""Point"",""coordinates"":[-122.24073055401354,37.401900665758575]}"
0000000000000000001e_6,2021-11-28,15.248799324035645,0000000000000000001e,JR.20,"{""type"":""Point"",""coordinates"":[-122.24073055401354,37.401900665758575]}"
0000000000000000001e_7,2021-11-29,15.45889949798584,0000000000000000001e,JR.20,"{""type"":""Point"",""coordinates"":[-122.24073055401354,37.401900665758575]}"
0000000000000000001e_8,2021-11-30,16.466999053955078,0000000000000000001e,JR.20,"{""type"":""Point"",""coordinates"":[-122.24073055401354,37.401900665758575]}"
0000000000000000001e_9,2021-12-01,16.744600296020508,0000000000000000001e,JR.20,"{""type"":""Point"",""coordinates"":[-122.24073055401354,37.401900665758575]}"
0000000000000000001e_10,2021-12-02,14.148599624633789,0000000000000000001e,JR.20,"{""type"":""Point"",""coordinates"":[-122.24073055401354,37.401900665758575]}"
0000000000000000001e_11,2021-12-03,11.700499534606934,0000000000000000001e,JR.20,"{""type"":""Point"",""coordinates"":[-122.24073055401354,37.401900665758575]}"
0000000000000000001e_12,2021-12-04,11.826399803161621,0000000000000000001e,JR.20,"{""type"":""Point"",""coordinates"":[-122.24073055401354,37.401900665758575]}"
0000000000000000001e_13,2021-12-05,12.321099281311035,0000000000000000001e,JR.20,"{""type"":""Point"",""coordinates"":[-122.24073055401354,37.401900665758575]}"
0000000000000000001e_14,2021-12-06,9.254599571228027,0000000000000000001e,JR.20,"{""type"":""Point"",""coordinates"":[-122.24073055401354,37.401900665758575]}"
